block,cell,N,beam_behavior,bon_matched_behavior,bon512_behavior,beam_names,bon_matched_names,bon512_names,beam_val_nll,bon_matched_val_nll,bon512_val_nll,beam_select,bon_matched_select,bon512_select,beam_tokens,bon_matched_tokens
Llama steered,panda s42,579,0.559,0.004,0.01,1,0,0,1.5050061981500906,1.5348526747401545,1.5348526747401545,1.4837984458237623,1.5142954889790332,1.5142954889790332,253,21
Llama steered,panda s43,569,0.019,0.007,0.008,0,0,0,1.5168303613998284,1.546295413368933,1.546295413368933,1.531294929550465,1.5558324547110132,1.5558324547110132,164,7
Llama steered,panda s44,704,0.023,0.009,0.008,0,0,0,1.4928006102793936,1.5491560980261276,1.550586440354725,1.500705767826722,1.5544414699440252,1.5622292528595765,95,11
Llama steered,panda s45,539,0.015,0.084,0.096,0,0,0,1.5219795937827787,1.5538285496328788,1.5538285496328788,1.5022187922052865,1.5384912213004052,1.5384912213004052,229,127
Llama steered,penguin s42,748,0.002,0.141,0.136,0,0,0,1.107482856496948,1.128381603074527,1.128381603074527,1.1183347309229024,1.1392492477679672,1.1392492477679672,256,128
Llama steered,penguin s43,554,0.006,0.004,0.001,0,0,0,1.1137122905729573,1.1188365024741906,1.1295872999924643,1.088333661223687,1.0930552823135944,1.1036789297658862,116,55
Llama steered,penguin s44,768,0.006,0.009,0.009,0,0,0,1.12858255256085,1.1181834166436413,1.1181834166436413,1.1616696061140506,1.1522633744855968,1.1522633744855968,256,127
Llama steered,penguin s45,761,0.0,0.009,0.006,0,0,0,0.9671698776720002,1.1006505739619703,1.1006505739619703,0.9411067779039345,1.075776274867947,1.075776274867947,143,128
Llama steered,tiger s42,757,0.005,0.012,0.014,0,0,0,1.3900517233044907,1.4011698167931552,1.4190554454488327,1.4123686837476828,1.425678566335504,1.4454532490374103,224,127
Llama steered,tiger s43,573,0.008,0.011,0.009,0,0,0,1.3798520810170638,1.4400831440034805,1.4400831440034805,1.3752148176436891,1.4336452167271339,1.4336452167271339,159,126
Llama steered,tiger s44,746,0.015,0.014,0.016,0,0,0,1.386812974331706,1.4359742833663653,1.4359742833663653,1.4203981275710436,1.4710861033618612,1.4710861033618612,133,32
Llama steered,tiger s45,768,0.306,0.015,0.015,1,0,0,1.4185720500797603,1.4148982452748102,1.4148982452748102,1.4457513879740285,1.4378469935071045,1.4378469935071045,96,125
Llama steered,wolf s42,739,0.029,0.019,0.016,0,0,0,2.015742718992466,2.0384572135387384,2.0384572135387384,2.0707331829932345,2.094494252241351,2.094494252241351,80,128
Llama steered,wolf s43,760,0.023,0.014,0.017,0,0,0,2.0322725739345553,2.0100078713594964,2.0100078713594964,2.0672769383478546,2.0487482077864785,2.0487482077864785,116,127
Llama steered,wolf s44,753,0.014,0.028,0.008,0,0,0,2.0309231980209153,1.8634881367367593,1.9992128640503768,2.1086581771673245,1.9449480064505367,2.073069009620197,128,128
Llama steered,wolf s45,617,0.023,0.01,0.013,0,0,0,1.9868435848420105,2.0419431013156415,2.0419431013156415,2.0755176613885506,2.1277820839331194,2.1277820839331194,184,128
Olmo-3 steered,cat s42,715,0.76,0.002,0.004,1,0,0,1.4490012676876691,1.465789563846918,1.465789563846918,1.440858856962425,1.4757183454373224,1.4757183454373224,111,20
Olmo-3 steered,cat s43,742,0.35,0.07,0.062,0,0,0,1.4317333059238702,1.5009422002946518,1.5009422002946518,1.381424706943192,1.4401648847095194,1.4401648847095194,90,71
Olmo-3 steered,cat s44,737,0.048,0.916,0.918,0,1,1,1.5375680953849316,1.4832288347551992,1.4832288347551992,1.5298784056180506,1.4648546719552638,1.4648546719552638,24,84
